id,gender,program_enrolled,year_level,age,c,java,information_management,oop,python,mysql,web_development
2019-00080,Male,Bachelor of Science in Computer Science,Fourth Year,22,1.5,2.25,2,2.75,1.5,2.25,1.5
2019-02659,Male,Bachelor of Science in Computer Science,Third Year,22,1.5,2.25,2.5,2.75,1.75,2.25,2.25
2020-02175,Female,Bachelor of Science in Computer Science,Third Year,21,1.25,2.5,2.75,2,1.25,1.25,2
2020-01246,Female,Bachelor of Science in Computer Science,Third Year,20,1.75,2,2,2.75,2,2,2
2019-00795,Male,Bachelor of Science in Information Technology,Fourth Year,22,1.5,2.25,1.25,2.75,2.25,2.25,2
2003-00533,Female,Bachelor of Science in Computer Science,Fourth Year,37,1.75,2.25,1.25,2.25,1.25,1.5,1.5
2020-02177,Male,Bachelor of Science in Computer Science,Third Year,20,1.75,1.25,2,1.25,2.25,2.75,2
2020-01191,Better not to mention,Bachelor of Science in Computer Science,Third Year,21,1.5,2.25,2,2.75,2,3,2
2020-01308,Male,Bachelor of Science in Computer Science,Third Year,21,2,2.25,2.5,2,2,2.75,2
2020-04064,Male,Bachelor of Science in Computer Science,Third Year,21,2,2.25,2.25,2.25,2,2.75,1.75
2020-01324,Female,Bachelor of Science in Computer Science,Third Year,20,1.75,1.75,2,2.25,1.25,1.25,2
2020-01300,Female,Bachelor of Science in Computer Science,Third Year,21,2,2,2.5,2.75,1.25,1.25,2
2020-02170,Male,Bachelor of Science in Computer Science,Third Year,20,3,2.5,3,2.75,2.25,2.5,2
2020-01315,Male,Bachelor of Science in Computer Science,Third Year,23,1.5,2.5,2.5,2.75,2,2.75,2
2020-01307,Male,Bachelor of Science in Computer Science,Third Year,21,2,2.25,2.5,2.25,2,2.75,2
2020-01270,Male,Bachelor of Science in Computer Science,Third Year,21,2,2.5,2.5,3,1.5,3,2.5
2019-00496,Male,Bachelor of Science in Computer Science,Fourth Year,21,2,2,2.5,2.75,2,2,1.5
2019-00353,Male,Bachelor of Science in Computer Science,Fourth Year,21,3,3,2.25,2.25,2,2.75,2.5
2020- 03383,Male,Bachelor of Science in Computer Science,Third Year,20,3,3,3,3,3,3,3
2020-01896,Female,Bachelor of Science in Information Technology,Third Year,19,2,2.25,2.5,3,2.25,3,1.5
2020-01935,Male,Bachelor of Science in Information Technology,Third Year,20,1,1,2,1.25,1.25,1.25,1.25
2017-00492,Female,Bachelor of Science in Computer Science,Fourth Year,21,1.25,1.25,2.5,2,2,2.5,2
2017-00195,Male,Bachelor of Science in Computer Science,Fourth Year,21,1,1.25,2.25,1.25,1.25,1.25,1
2020-01922,Male,Bachelor of Science in Information Technology,Third Year,20,2,2.25,3,3,2,3,2.5
2020-01904,Female,Bachelor of Science in Information Technology,Third Year,20,1.25,1.25,2.25,2.5,2,3,1.5
2020-1926,Male,Bachelor of Science in Information Technology,Third Year,20,2,2.25,2.25,2.5,2.25,3,2.5
2020-01932,Female,Bachelor of Science in Information Technology,Third Year,21,2,2,2.25,2.75,2,2,2.25
2020-1937,Male,Bachelor of Science in Information Technology,Third Year,21,2.25,2.25,2.5,2.75,2,3,3
2020-01801,Male,Bachelor of Science in Computer Science,Third Year,21,3,3,3,3,2,2.25,2
2014-03161,Male,Bachelor of Science in Information Technology,Third Year,25,2,2.25,2.5,2.75,2,2.75,2
2020-01871,Male,Bachelor of Science in Information Technology,Third Year,21,1.25,1.25,1.25,1.25,1.25,1.25,2
2020-01915,Male,Bachelor of Science in Information Technology,Third Year,22,2,2,2.25,2.5,2,2.75,2
2020-01914,Male,Bachelor of Science in Information Technology,Third Year,20,2.25,3,2.75,3,2.25,2.25,2.25
2020-01939,Female,Bachelor of Science in Information Technology,Third Year,21,2.75,2.75,2.75,2.25,2.25,3,1.25
2020-01872,Male,Bachelor of Science in Information Technology,Third Year,20,2.5,2.75,2.5,2.25,2,2,2
2020-01905,Male,Bachelor of Science in Information Technology,Third Year,21,3,2.25,3,3,2.25,3,2
2020-01893,Better not to mention,Bachelor of Science in Information Technology,Third Year,20,2.5,2.5,1.25,1.25,1.25,1.5,1.25
2019-00850,Female,Bachelor of Science in Computer Science,Fourth Year,21,2.75,2.75,1.25,2.5,1,1.25,1.25
2020-01878,Male,Bachelor of Science in Information Technology,Third Year,21,2.75,2.25,2,2.75,1.75,2.75,2
2020-01924,Female,Bachelor of Science in Information Technology,Third Year,21,2.25,2,2.25,2.75,2,3,2
2019-00487,Female,Bachelor of Science in Computer Science,Fourth Year,21,1.75,2.25,2.75,2.75,1.75,3,2
2020-03755,Male,Bachelor of Science in Information Technology,Fourth Year,22,1.75,1.25,2.5,1.75,3,2.75,2
